,dia_semana,dia_año,trimestre,mes,año
2025-02-28,4,59,1,2,2025
2025-03-01,5,60,1,3,2025
2025-03-02,6,61,1,3,2025
2025-03-03,0,62,1,3,2025
2025-03-04,1,63,1,3,2025
2025-03-05,2,64,1,3,2025
2025-03-06,3,65,1,3,2025
2025-03-07,4,66,1,3,2025
2025-03-08,5,67,1,3,2025
2025-03-09,6,68,1,3,2025
2025-03-10,0,69,1,3,2025
2025-03-11,1,70,1,3,2025
2025-03-12,2,71,1,3,2025
2025-03-13,3,72,1,3,2025
2025-03-14,4,73,1,3,2025
2025-03-15,5,74,1,3,2025
2025-03-16,6,75,1,3,2025
2025-03-17,0,76,1,3,2025
2025-03-18,1,77,1,3,2025
2025-03-19,2,78,1,3,2025
2025-03-20,3,79,1,3,2025
2025-03-21,4,80,1,3,2025
2025-03-22,5,81,1,3,2025
2025-03-23,6,82,1,3,2025
2025-03-24,0,83,1,3,2025
2025-03-25,1,84,1,3,2025
2025-03-26,2,85,1,3,2025
2025-03-27,3,86,1,3,2025
2025-03-28,4,87,1,3,2025
2025-03-29,5,88,1,3,2025
2025-03-30,6,89,1,3,2025
2025-03-31,0,90,1,3,2025
2025-04-01,1,91,2,4,2025
2025-04-02,2,92,2,4,2025
2025-04-03,3,93,2,4,2025
2025-04-04,4,94,2,4,2025
2025-04-05,5,95,2,4,2025
2025-04-06,6,96,2,4,2025
2025-04-07,0,97,2,4,2025
2025-04-08,1,98,2,4,2025
2025-04-09,2,99,2,4,2025
2025-04-10,3,100,2,4,2025
2025-04-11,4,101,2,4,2025
2025-04-12,5,102,2,4,2025
2025-04-13,6,103,2,4,2025
2025-04-14,0,104,2,4,2025
2025-04-15,1,105,2,4,2025
2025-04-16,2,106,2,4,2025
2025-04-17,3,107,2,4,2025
2025-04-18,4,108,2,4,2025
2025-04-19,5,109,2,4,2025
2025-04-20,6,110,2,4,2025
2025-04-21,0,111,2,4,2025
2025-04-22,1,112,2,4,2025
2025-04-23,2,113,2,4,2025
2025-04-24,3,114,2,4,2025
2025-04-25,4,115,2,4,2025
2025-04-26,5,116,2,4,2025
2025-04-27,6,117,2,4,2025
2025-04-28,0,118,2,4,2025
2025-04-29,1,119,2,4,2025
2025-04-30,2,120,2,4,2025
2025-05-01,3,121,2,5,2025
2025-05-02,4,122,2,5,2025
2025-05-03,5,123,2,5,2025
2025-05-04,6,124,2,5,2025
2025-05-05,0,125,2,5,2025
2025-05-06,1,126,2,5,2025
2025-05-07,2,127,2,5,2025
2025-05-08,3,128,2,5,2025
2025-05-09,4,129,2,5,2025
2025-05-10,5,130,2,5,2025
2025-05-11,6,131,2,5,2025
2025-05-12,0,132,2,5,2025
2025-05-13,1,133,2,5,2025
2025-05-14,2,134,2,5,2025
2025-05-15,3,135,2,5,2025
2025-05-16,4,136,2,5,2025
2025-05-17,5,137,2,5,2025
2025-05-18,6,138,2,5,2025
2025-05-19,0,139,2,5,2025
2025-05-20,1,140,2,5,2025
2025-05-21,2,141,2,5,2025
2025-05-22,3,142,2,5,2025
2025-05-23,4,143,2,5,2025
2025-05-24,5,144,2,5,2025
2025-05-25,6,145,2,5,2025
2025-05-26,0,146,2,5,2025
2025-05-27,1,147,2,5,2025
2025-05-28,2,148,2,5,2025
2025-05-29,3,149,2,5,2025
2025-05-30,4,150,2,5,2025
2025-05-31,5,151,2,5,2025
2025-06-01,6,152,2,6,2025
2025-06-02,0,153,2,6,2025
2025-06-03,1,154,2,6,2025
2025-06-04,2,155,2,6,2025
2025-06-05,3,156,2,6,2025
2025-06-06,4,157,2,6,2025
2025-06-07,5,158,2,6,2025
2025-06-08,6,159,2,6,2025
2025-06-09,0,160,2,6,2025
2025-06-10,1,161,2,6,2025
2025-06-11,2,162,2,6,2025
2025-06-12,3,163,2,6,2025
2025-06-13,4,164,2,6,2025
2025-06-14,5,165,2,6,2025
2025-06-15,6,166,2,6,2025
2025-06-16,0,167,2,6,2025
2025-06-17,1,168,2,6,2025
2025-06-18,2,169,2,6,2025
2025-06-19,3,170,2,6,2025
2025-06-20,4,171,2,6,2025
2025-06-21,5,172,2,6,2025
2025-06-22,6,173,2,6,2025
2025-06-23,0,174,2,6,2025
2025-06-24,1,175,2,6,2025
2025-06-25,2,176,2,6,2025
2025-06-26,3,177,2,6,2025
2025-06-27,4,178,2,6,2025
2025-06-28,5,179,2,6,2025
2025-06-29,6,180,2,6,2025
2025-06-30,0,181,2,6,2025
2025-07-01,1,182,3,7,2025
2025-07-02,2,183,3,7,2025
2025-07-03,3,184,3,7,2025
2025-07-04,4,185,3,7,2025
2025-07-05,5,186,3,7,2025
2025-07-06,6,187,3,7,2025
2025-07-07,0,188,3,7,2025
2025-07-08,1,189,3,7,2025
2025-07-09,2,190,3,7,2025
2025-07-10,3,191,3,7,2025
2025-07-11,4,192,3,7,2025
2025-07-12,5,193,3,7,2025
2025-07-13,6,194,3,7,2025
2025-07-14,0,195,3,7,2025
2025-07-15,1,196,3,7,2025
2025-07-16,2,197,3,7,2025
2025-07-17,3,198,3,7,2025
2025-07-18,4,199,3,7,2025
2025-07-19,5,200,3,7,2025
2025-07-20,6,201,3,7,2025
2025-07-21,0,202,3,7,2025
2025-07-22,1,203,3,7,2025
2025-07-23,2,204,3,7,2025
2025-07-24,3,205,3,7,2025
2025-07-25,4,206,3,7,2025
2025-07-26,5,207,3,7,2025
2025-07-27,6,208,3,7,2025
2025-07-28,0,209,3,7,2025
2025-07-29,1,210,3,7,2025
2025-07-30,2,211,3,7,2025
2025-07-31,3,212,3,7,2025
2025-08-01,4,213,3,8,2025
2025-08-02,5,214,3,8,2025
2025-08-03,6,215,3,8,2025
2025-08-04,0,216,3,8,2025
2025-08-05,1,217,3,8,2025
2025-08-06,2,218,3,8,2025
2025-08-07,3,219,3,8,2025
2025-08-08,4,220,3,8,2025
2025-08-09,5,221,3,8,2025
2025-08-10,6,222,3,8,2025
2025-08-11,0,223,3,8,2025
2025-08-12,1,224,3,8,2025
2025-08-13,2,225,3,8,2025
2025-08-14,3,226,3,8,2025
2025-08-15,4,227,3,8,2025
2025-08-16,5,228,3,8,2025
2025-08-17,6,229,3,8,2025
2025-08-18,0,230,3,8,2025
2025-08-19,1,231,3,8,2025
2025-08-20,2,232,3,8,2025
2025-08-21,3,233,3,8,2025
2025-08-22,4,234,3,8,2025
2025-08-23,5,235,3,8,2025
2025-08-24,6,236,3,8,2025
2025-08-25,0,237,3,8,2025
2025-08-26,1,238,3,8,2025
2025-08-27,2,239,3,8,2025
2025-08-28,3,240,3,8,2025
2025-08-29,4,241,3,8,2025
2025-08-30,5,242,3,8,2025
2025-08-31,6,243,3,8,2025
2025-09-01,0,244,3,9,2025
2025-09-02,1,245,3,9,2025
2025-09-03,2,246,3,9,2025
2025-09-04,3,247,3,9,2025
2025-09-05,4,248,3,9,2025
2025-09-06,5,249,3,9,2025
2025-09-07,6,250,3,9,2025
2025-09-08,0,251,3,9,2025
2025-09-09,1,252,3,9,2025
2025-09-10,2,253,3,9,2025
2025-09-11,3,254,3,9,2025
2025-09-12,4,255,3,9,2025
2025-09-13,5,256,3,9,2025
2025-09-14,6,257,3,9,2025
2025-09-15,0,258,3,9,2025
2025-09-16,1,259,3,9,2025
2025-09-17,2,260,3,9,2025
2025-09-18,3,261,3,9,2025
2025-09-19,4,262,3,9,2025
2025-09-20,5,263,3,9,2025
2025-09-21,6,264,3,9,2025
2025-09-22,0,265,3,9,2025
2025-09-23,1,266,3,9,2025
2025-09-24,2,267,3,9,2025
2025-09-25,3,268,3,9,2025
2025-09-26,4,269,3,9,2025
2025-09-27,5,270,3,9,2025
2025-09-28,6,271,3,9,2025
2025-09-29,0,272,3,9,2025
2025-09-30,1,273,3,9,2025
2025-10-01,2,274,4,10,2025
2025-10-02,3,275,4,10,2025
2025-10-03,4,276,4,10,2025
2025-10-04,5,277,4,10,2025
2025-10-05,6,278,4,10,2025
2025-10-06,0,279,4,10,2025
2025-10-07,1,280,4,10,2025
2025-10-08,2,281,4,10,2025
2025-10-09,3,282,4,10,2025
2025-10-10,4,283,4,10,2025
2025-10-11,5,284,4,10,2025
2025-10-12,6,285,4,10,2025
2025-10-13,0,286,4,10,2025
2025-10-14,1,287,4,10,2025
2025-10-15,2,288,4,10,2025
2025-10-16,3,289,4,10,2025
2025-10-17,4,290,4,10,2025
2025-10-18,5,291,4,10,2025
2025-10-19,6,292,4,10,2025
2025-10-20,0,293,4,10,2025
2025-10-21,1,294,4,10,2025
2025-10-22,2,295,4,10,2025
2025-10-23,3,296,4,10,2025
2025-10-24,4,297,4,10,2025
2025-10-25,5,298,4,10,2025
2025-10-26,6,299,4,10,2025
2025-10-27,0,300,4,10,2025
2025-10-28,1,301,4,10,2025
2025-10-29,2,302,4,10,2025
2025-10-30,3,303,4,10,2025
2025-10-31,4,304,4,10,2025
2025-11-01,5,305,4,11,2025
2025-11-02,6,306,4,11,2025
2025-11-03,0,307,4,11,2025
2025-11-04,1,308,4,11,2025
2025-11-05,2,309,4,11,2025
2025-11-06,3,310,4,11,2025
2025-11-07,4,311,4,11,2025
2025-11-08,5,312,4,11,2025
2025-11-09,6,313,4,11,2025
2025-11-10,0,314,4,11,2025
2025-11-11,1,315,4,11,2025
2025-11-12,2,316,4,11,2025
2025-11-13,3,317,4,11,2025
2025-11-14,4,318,4,11,2025
2025-11-15,5,319,4,11,2025
2025-11-16,6,320,4,11,2025
2025-11-17,0,321,4,11,2025
2025-11-18,1,322,4,11,2025
2025-11-19,2,323,4,11,2025
2025-11-20,3,324,4,11,2025
2025-11-21,4,325,4,11,2025
2025-11-22,5,326,4,11,2025
2025-11-23,6,327,4,11,2025
2025-11-24,0,328,4,11,2025
2025-11-25,1,329,4,11,2025
2025-11-26,2,330,4,11,2025
2025-11-27,3,331,4,11,2025
2025-11-28,4,332,4,11,2025
2025-11-29,5,333,4,11,2025
2025-11-30,6,334,4,11,2025
2025-12-01,0,335,4,12,2025
2025-12-02,1,336,4,12,2025
2025-12-03,2,337,4,12,2025
2025-12-04,3,338,4,12,2025
2025-12-05,4,339,4,12,2025
2025-12-06,5,340,4,12,2025
2025-12-07,6,341,4,12,2025
2025-12-08,0,342,4,12,2025
2025-12-09,1,343,4,12,2025
2025-12-10,2,344,4,12,2025
2025-12-11,3,345,4,12,2025
2025-12-12,4,346,4,12,2025
2025-12-13,5,347,4,12,2025
2025-12-14,6,348,4,12,2025
2025-12-15,0,349,4,12,2025
2025-12-16,1,350,4,12,2025
2025-12-17,2,351,4,12,2025
2025-12-18,3,352,4,12,2025
2025-12-19,4,353,4,12,2025
2025-12-20,5,354,4,12,2025
2025-12-21,6,355,4,12,2025
2025-12-22,0,356,4,12,2025
2025-12-23,1,357,4,12,2025
2025-12-24,2,358,4,12,2025
2025-12-25,3,359,4,12,2025
2025-12-26,4,360,4,12,2025
2025-12-27,5,361,4,12,2025
2025-12-28,6,362,4,12,2025
2025-12-29,0,363,4,12,2025
2025-12-30,1,364,4,12,2025
2025-12-31,2,365,4,12,2025
