,fecha,sector_economico,valor
0,2019-01-01,IndústriaNo especificatResidencialServeis,15701309
1,2019-01-02,IndústriaNo especificatResidencialServeis,19471873
2,2019-01-03,IndústriaNo especificatResidencialServeis,20076314
3,2019-01-04,IndústriaNo especificatResidencialServeis,20198333
4,2019-01-05,IndústriaNo especificatResidencialServeis,17444148
5,2019-01-06,IndústriaNo especificatResidencialServeis,15841919
6,2019-01-07,IndústriaNo especificatResidencialServeis,20624705
7,2019-01-08,IndústriaNo especificatResidencialServeis,21444962
8,2019-01-09,IndústriaNo especificatResidencialServeis,21148356
9,2019-01-10,IndústriaNo especificatResidencialServeis,21569788
10,2019-01-11,IndústriaNo especificatResidencialServeis,22075383
11,2019-01-12,IndústriaNo especificatResidencialServeis,18823905
12,2019-01-13,IndústriaNo especificatResidencialServeis,17524486
13,2019-01-14,IndústriaNo especificatResidencialServeis,21223990
14,2019-01-15,IndústriaNo especificatResidencialServeis,21084019
15,2019-01-16,IndústriaNo especificatResidencialServeis,21079526
16,2019-01-17,IndústriaNo especificatResidencialServeis,20920020
17,2019-01-18,IndústriaNo especificatResidencialServeis,21425407
18,2019-01-19,IndústriaNo especificatResidencialServeis,18192589
19,2019-01-20,IndústriaNo especificatResidencialServeis,17460785
20,2019-01-21,IndústriaNo especificatResidencialServeis,21743488
21,2019-01-22,IndústriaNo especificatResidencialServeis,22523170
22,2019-01-23,IndústriaNo especificatResidencialServeis,22332141
23,2019-01-24,IndústriaNo especificatResidencialServeis,22275264
24,2019-01-25,IndústriaNo especificatResidencialServeis,21624610
25,2019-01-26,IndústriaNo especificatResidencialServeis,17906639
26,2019-01-27,IndústriaNo especificatResidencialServeis,16588284
27,2019-01-28,IndústriaNo especificatResidencialServeis,21499554
28,2019-01-29,IndústriaNo especificatResidencialServeis,22048573
29,2019-01-30,IndústriaNo especificatResidencialServeis,21785642
30,2019-01-31,IndústriaNo especificatResidencialServeis,20684877
31,2019-02-01,IndústriaNo especificatResidencialServeis,20061433
32,2019-02-02,IndústriaNo especificatResidencialServeis,17719478
33,2019-02-03,IndústriaNo especificatResidencialServeis,16757420
34,2019-02-04,IndústriaNo especificatResidencialServeis,21562527
35,2019-02-05,IndústriaNo especificatResidencialServeis,20960755
36,2019-02-06,IndústriaNo especificatResidencialServeis,20448661
37,2019-02-07,IndústriaNo especificatResidencialServeis,20376640
38,2019-02-08,IndústriaNo especificatResidencialServeis,19959287
39,2019-02-09,IndústriaNo especificatResidencialServeis,16812259
40,2019-02-10,IndústriaNo especificatResidencialServeis,15540451
41,2019-02-11,IndústriaNo especificatResidencialServeis,19842226
42,2019-02-12,IndústriaNo especificatResidencialServeis,20104345
